Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
RT @MercedesAMGF1: TEAM 👊 #DrivenByEachOther https://t.co/iK8qJ5p4Mc,68,2020-02-14 21:12:28,Twitter for iPhone,0,1126,LewisHamilton,1228426808846094336
"Shakedown day 👊🏾
@MercedesAMGF1 
#W11 https://t.co/KVyJZlczt3",61,2020-02-14 15:02:39,Twitter for iPhone,6442,514,LewisHamilton,1228333740419670017
"1000s of hours go into design and production for the final outcome. It’s an art to get this all together, but one of the most exciting moments of the year seeing everyone’s hard work displayed. I’m so privileged to experience driving the #W11 of which I’m so grateful🙏🏾 https://t.co/b3Zun48ZQw",293,2020-02-14 13:41:55,Twitter for iPhone,12997,1275,LewisHamilton,1228313424058363906
Prepping for the first lap in the #W11 🙌🏾 @MercedesAMGF1 https://t.co/zzqsWRr2hs,80,2020-02-14 13:15:14,Twitter for iPhone,10063,848,LewisHamilton,1228306706461024258
"RT @MercedesAMGF1: 09:30 GMT ⏰ Kicking off our shakedown day LIVE with Toto, @ValtteriBottas and @LewisHamilton! 🎥

Watch LIVE on Facebook,…",140,2020-02-14 09:01:02,Twitter for iPhone,0,352,LewisHamilton,1228242737302048768
"#W11 🔥
Excited to get behind the wheel 👀 https://t.co/w8TgCZnYLY",64,2020-02-14 08:43:26,Twitter for iPhone,22903,2501,LewisHamilton,1228238304535031808
"I wanted to bring somebody new to the table with a fresh perspective, someone who shares great values and uniqueness. I’m super pumped for you to explore TommyXLewisXH.E.R.
Capsule collection coming soon! @HERMusicx  @tommyhilfiger🙏🏾 #TommyXLewis https://t.co/0erIBOeMTX",270,2020-02-13 16:10:22,Twitter Web App,6809,501,LewisHamilton,1227988393650511872
"2020 Purple Dove! 
#StillIRise #TeamLH https://t.co/tIr4HWAw57",62,2020-02-12 18:02:41,Twitter for iPhone,28288,3116,LewisHamilton,1227654269064679425
Coming soon 🙌🏾  TommyXLewisXH.E.R. capsule collection. Can’t wait for you to see the bold and edgy twist @HERMusicx added to Season 4. @tommyhilfiger 🔥 https://t.co/vsIYGyQIkM,175,2020-02-12 17:15:46,Twitter for iPhone,3869,298,LewisHamilton,1227642461729820679
"RT @MercedesAMGF1: ""I know that you guys are all gunning for number seven!"" 👊 @LewisHamilton is BACK! https://t.co/vLmKNtTi8x",125,2020-02-12 14:15:58,Twitter for iPhone,0,1366,LewisHamilton,1227597215893524481
@F1_Ayden Thanks so much! 🙌🏾,28,2020-02-11 11:44:13,Twitter Web App,2527,29,LewisHamilton,1227196637333934080
@jiahaoliewww 🙌🏾,16,2020-02-11 09:43:12,Twitter Web App,109,1,LewisHamilton,1227166182702231552
"It’s finally here!💥
I designed #TommyXLewis Season 4 to be a collection without boundaries, for everyone, everywhere. I’m so proud to say that we’ve created our most sustainable collection yet! Let me know which pieces are your favourite 👀 https://t.co/dAIG5BdhMX @TommyHilfiger https://t.co/SkRbPTcw4Y",302,2020-02-10 17:02:48,Twitter for iPhone,6932,742,LewisHamilton,1226914424868438016
@nurullittlepill I’m here!,26,2020-02-10 13:09:13,Twitter for iPhone,3376,80,LewisHamilton,1226855643627360256
Caveman ting 👹 https://t.co/yAitrXx82P,38,2020-02-08 18:16:47,Twitter for iPhone,17173,923,LewisHamilton,1226208268890099713
RT @MercedesAMGF1: First look ✨✨✨👀 https://t.co/g6SLmhdFL8,58,2020-02-07 16:11:07,Twitter Web App,0,1376,LewisHamilton,1225814256005898243
"#TommyXLewis Season 4 sweatshirt has landed! Reinventing classics with a streetwear edge 💎
Check out the latest drop - our most sustainable collaborative collection to date. https://t.co/tJTcxRDYZY 
@tommyhilfiger https://t.co/0qeNxACv1y",237,2020-02-06 17:24:06,Twitter for iPhone,3717,330,LewisHamilton,1225470231675576321
"Last year I arrived into testing with a lot of water weight and around 78kg. This year, I’m at a better weight of 73kg. Still have more fat to burn off and more muscle to add but on the way. If you are wanting to get in shape, you can do it. Let’s go guys #keeppushing #letsgo 💪🏾 https://t.co/vR56uEiCET",303,2020-02-06 14:28:29,Twitter for iPhone,15020,829,LewisHamilton,1225426036386680833
https://t.co/4gRFP4o7Bv,23,2020-02-06 10:15:53,Twitter for iPhone,18293,1612,LewisHamilton,1225362470778417153
Reflect positivity if you can rather than your fears and doubts. https://t.co/ZKQyMi1kIS,88,2020-02-03 16:24:53,Twitter Web App,7725,609,LewisHamilton,1224368165817323520
Amazing to learn about how much 5G will improve our future with @VodafoneUK 🙌🏾 #5Gamechanger #Ad https://t.co/yIsFOIIDBT,120,2020-01-31 16:54:14,Twitter Media Studio,2639,256,LewisHamilton,1223288392307421186
This Tweet from @LewisHamilton has been withheld in response to a report from the copyright holder. Learn more.,111,2020-01-29 21:35:48,Twitter for iPhone,12390,849,LewisHamilton,1222634474594357250
"I’m constantly moving from one place to the next and wanted to design a backpack that worked for everyday. Shop the drop https://t.co/dAIG5BdhMX
#TommyXLewis #AD 
@TommyHilfiger https://t.co/prKbiKLGvK",201,2020-01-28 17:08:37,Twitter Web App,3774,302,LewisHamilton,1222204848235565056
RT @MercedesAMGF1: Listen up... W11 is ALIVE! 🔥⬆🔊❤ https://t.co/BXFGSefmMy,74,2020-01-28 16:22:18,Twitter Web App,0,2261,LewisHamilton,1222193190662561792
My dad came out to train with me this past week and this is us cruising around listening to great music and just vibing. Sending everybody love and positivity🙏🏾 https://t.co/jJGOmoUoMw,184,2020-01-28 09:38:56,Twitter for iPhone,19207,886,LewisHamilton,1222091678560989189
"Working towards being the best you, is a mission with a combination of many factors. The mind, body and spirit need to be aligned. Let’s keep pushing ourselves and those that are around us. If I can do it I know you can, we can do it together #TeamLH #LetsGo https://t.co/ri246vdFfM",282,2020-01-27 11:24:37,Twitter Web App,21087,1598,LewisHamilton,1221755889796964352
I’m sad to hear that we lost one of our greats. @kobebryant was one of the greatest athletes and was such an inspiration to so many including myself. I’m deeply saddened for his family and for the people around the world who looked up to him. May he and his daughter rest in peace https://t.co/O4ZWANcGKm,304,2020-01-26 22:35:59,Twitter for iPhone,60489,7124,LewisHamilton,1221562453307338752
#DollyPartonChallenge https://t.co/v2CxNZTKMf,45,2020-01-25 18:20:20,Twitter for iPhone,14505,1156,LewisHamilton,1221135731214766081
"Throwback to winter break 🏂❄️ 

📸: IG-johnnystillphoto https://t.co/RIRF0PjaGB",78,2020-01-25 13:03:31,Twitter for iPhone,7190,431,LewisHamilton,1221055999630610433
"I teamed up with @VodafoneUK recently to find out how 5G is going to revolutionise the future of gaming. I definitely geek’d out on this one 🎮
#5Gamechanger #ad https://t.co/qwnnS3SHGg",184,2020-01-24 11:51:38,Twitter for iPhone,3203,247,LewisHamilton,1220675524252573697
