Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"DACA recipients are our neighbors, our coworkers, and our friends, working to build lives for themselves in the only country they have ever known.

They are an essential part of the very fabric of our community, and I will never stop fighting for them.

#HereToStay #HomeIsHere",301,2020-06-18 15:42:08,Twitter Web App,519,81,GovMLG,1273642158612832256,,1070083706822438912,False,https://t.co/7GvKACBbyq,en,June,Q2
"Today's #COVID19 update:

- 138 new COVID-19 cases, totaling 10,065 cases statewide

- Five additional COVID-19 deaths, bringing the total to 452 deaths statewide

- 161 individuals currently hospitalized with COVID-19 statewide

More info here:",293,2020-06-17 22:45:42,Twitter Web App,72,22,GovMLG,1273386363782496256,,1070083706822438912,False,https://t.co/zEhrC83fiO,en,June,Q2
"New Mexico wildfire season is well underway. Approximately 75% of New Mexico is currently abnormally dry, and we must take every precaution.

I am strongly urging local governments to be fire-safe amid droughts this summer.",248,2020-06-17 20:40:12,Twitter Web App,125,31,GovMLG,1273354783504478208,,1070083706822438912,False,https://t.co/xg7E3p0JoO,en,June,Q2
"While the focus of this special session is narrow given the economic &amp; public health concerns, we must begin to address both the financial &amp; human rights emergencies of this moment &amp; put ourselves in a position to evaluate &amp; enact broader structural reform in the next session.",293,2020-06-17 18:45:04,Twitter Web App,44,5,GovMLG,1273325809231466496,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"New Mexico families, workers and businesses have been suffering as a result of this pandemic, and it is our duty not merely to shore up the state budget – although that is imperative – but to deliver them whatever immediate relief we can as a state.",249,2020-06-17 18:45:04,Twitter Web App,39,3,GovMLG,1273325808048889859,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Election accessibility:

It’s critical that we promote &amp; ensure the security &amp; timeliness of remote voting during the pendency of a public health emergency, including by giving county clerks the authority to send a ballot to registered voters with a current mailing address.",282,2020-06-17 18:45:04,Twitter Web App,44,6,GovMLG,1273325806983340039,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Public safety reform:

I’ve proposed and asked the Legislature to consider:

- Requiring police officers to wear body cameras
- Banning chokehold restraints
- Making police disciplinary history a matter of public record
- Exploring the issue of qualified immunity",263,2020-06-17 18:45:04,Twitter Web App,49,7,GovMLG,1273325805800579072,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Economic relief:

I’ve proposed tax relief for small businesses and individuals impacted by the pandemic, as well as investing a portion of the state’s multibillion-dollar Severance Tax Permanent Fund to support small businesses and municipalities impacted by COVID-19.",269,2020-06-17 18:45:03,Twitter Web App,20,1,GovMLG,1273325803594342400,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Tomorrow the state Legislature will be called into a special session to address the state budget hole created by the economic effects of the COVID-19 pandemic.

I've also asked the Legislature to take up:

Business &amp; tax relief
Public safety reform
Election changes

More info ⬇️",307,2020-06-17 18:45:03,Twitter Web App,161,41,GovMLG,1273325802386362368,,1070083706822438912,False,https://t.co/FzZ8krOtjd,en,June,Q2
"The deadline to apply is Tuesday, June 30.

The loan may be forgiven if at least 60% of funds are used to cover payroll, and the timeframe for spending the funds has been extended to 24 weeks. Talk to your local banker, or find a lender at .",264,2020-06-17 16:01:06,Twitter Web App,11,2,GovMLG,1273284543022170112,1.0700837068224389e+18,1070083706822438912,False,https://t.co/c5vfFnMAYG,en,June,Q2
"Attention New Mexico small businesses!

There’s still time to apply for the @SBAgov Paycheck Protection Program, which offers a forgivable loan to help your business through this economic crisis. Over 20,000 New Mexico businesses have already received relief through this program.",304,2020-06-17 16:01:05,Twitter Web App,58,23,GovMLG,1273284541692567553,,1070083706822438912,False,https://t.co/bFX32ETRbt,en,June,Q2
"Today's #COVID19 update:

- 88 new COVID-19 cases, totaling 9,933 cases statewide

- Seven additional COVID-19 deaths, bringing the total to 447 deaths statewide

- 156 individuals currently hospitalized with COVID-19 statewide

More info here:",292,2020-06-16 22:50:02,Twitter Web App,118,24,GovMLG,1273025068659081216,,1070083706822438912,False,https://t.co/l3S5dDXHJS,en,June,Q2
My statement on the “militia” and violence in Albuquerque tonight:,90,2020-06-16 04:35:35,Twitter for iPhone,2416,851,GovMLG,1272749641541574659,,1070083706822438912,False,https://t.co/BZISvyau3k,en,June,Q2
"COVID-19 is still among us.

It's critical that all New Mexicans continue to take precautions to protect themselves &amp; their communities.

Please, wear a face covering when in public – it has an incredible impact in preventing the spread of this terrible virus.

#ProtectNM #MaskUp",308,2020-06-15 22:35:07,Twitter Web App,149,51,GovMLG,1272658927570661378,,1070083706822438912,False,https://t.co/6qaWxl2qig,en,June,Q2
"Today's COVID-19 update:

- 132 new COVID-19 cases, totaling 9,845 cases statewide

- Five additional COVID-19 deaths, bringing the total to 440 deaths statewide

- 161 individuals currently hospitalized with COVID-19 statewide

More info here:",292,2020-06-15 22:30:41,Twitter Web App,79,17,GovMLG,1272657809973243905,,1070083706822438912,False,https://t.co/ninctjPLeY,en,June,Q2
"I am so grateful to all New Mexicans who protect the health and safety of others by wearing face coverings in public.

Voting is open for the final round of New Mexico Mask Madness! Cast a vote for your favorite mask – the winner will be crowned champion!",303,2020-06-15 20:17:53,Twitter Web App,91,13,GovMLG,1272624390220341250,,1070083706822438912,False,https://t.co/SAzwdqXRkD,en,June,Q2
"New Mexico's multiculturalism is its strength. Understanding our complicated history – and acknowledging the imbalanced power structures within it – is a process, and this is a step in the right direction.",229,2020-06-15 18:20:13,Twitter Web App,1012,226,GovMLG,1272594778085969920,,1070083706822438912,False,https://t.co/H7tPnFLVaQ,en,June,Q2
"Wonderful news today from the U.S. Supreme Court, affirming what we all already know to be true: discrimination against anyone for their sexual orientation or gender identity is unacceptable &amp; a violation of basic human rights &amp; dignity.

New Mexico stands up for LGBTQ+ rights.",310,2020-06-15 16:50:10,Twitter Web App,920,149,GovMLG,1272572116332769280,,1070083706822438912,False,https://t.co/9kMDWGoGN5,en,June,Q2
"The Advisory Council for Racial Justice will help steer my office's conversation on justice &amp; structural reform in New Mexico.

All those interested in serving on the Council &amp; providing ideas for consideration are welcome.

Please apply here by June 19:",310,2020-06-15 14:30:06,Twitter Web App,105,36,GovMLG,1272536867913691137,,1070083706822438912,False,https://t.co/oVleyySxN9,en,June,Q2
"Please note that reporting results from some private labs to @NMDOH are delayed for Sunday, June 14 – as a result, today's data reflects only a partial total. The delayed results will be included in tomorrow's reporting. This delay is not on the part of NMDOH.",260,2020-06-14 22:40:51,Twitter Web App,46,2,GovMLG,1272297981178376193,1.0700837068224389e+18,1070083706822438912,False,,en,June,Q2
"Today's #COVID19 update:

- 104 new COVID-19 cases, totaling 9,723 cases statewide

- Four additional COVID-19 deaths, bringing the total to 435 deaths statewide

- 162 individuals currently hospitalized with COVID-19 statewide

More info here:",292,2020-06-14 22:40:51,Twitter Web App,95,20,GovMLG,1272297979806801921,,1070083706822438912,False,https://t.co/G2p4RYsOns,en,June,Q2
"Today's #COVID19 update:

- 102 new COVID-19 cases, totaling 9,621 cases statewide

- Five additional COVID-19 deaths, bringing the total to 431 deaths statewide

- 172 individuals currently hospitalized with COVID-19 statewide

More info here:",292,2020-06-13 22:43:02,Twitter Web App,87,24,GovMLG,1271936143898992641,,1070083706822438912,False,https://t.co/sAyx7Az9b9,en,June,Q2
"These are significant, awful allegations and, if true, a disgusting and unforgivable violation of patient rights.

The state of New Mexico is investigating whether this constitutes a CMS violation and will unequivocally hold this hospital accountable.",275,2020-06-13 18:30:02,Twitter Web App,472,217,GovMLG,1271872475177996288,,1070083706822438912,False,https://t.co/XXisfKLZHd,en,June,Q2
