Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
My definition of success is being able to peel a price tag off the bottom of an item CLEANLY leaving NO residue,111,2020-04-15 04:31:59,Twitter for iPhone,39992,4528,katyperry,1250280686264545280,False,,en,April
Who says you can’t look cute while being bored in the house? 🙃✌🏻💗 and don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19 #ShoesdayTuesday @kpcollections,289,2020-04-14 23:59:11,Twitter for iPhone,9278,1113,katyperry,1250212033695367170,False,https://t.co/jPjwrqX2UC,en,April
do we think this is the season finale of The Simulation or nah,62,2020-04-14 23:57:07,Twitter for iPhone,17906,1926,katyperry,1250211516269264896,False,,en,April
"How will @AmericanIdol continue? 
I'll be judging from California ☀️
@LionelRichie from LA 👋
@LukeBryanOnline &amp; @mrBobbyBones in Nashville.🤠
@RyanSeacrest will host from Cali!🌴
Contestants perform at their house!🎤
America will VOTE from HOME and choose a WINNER!🗳️🎉",293,2020-04-14 20:06:04,Twitter for iPhone,6611,822,katyperry,1250153369382973441,False,https://t.co/DF1emYAfuR,en,April
Somebunny 🐰 is going to be live on FACEBOOK with you right before Idol starts tonight at 7:45p ET to have a little Q&amp;A about any of your #AmericanIdol questions 🐣,190,2020-04-12 22:36:32,Twitter for iPhone,32448,3425,katyperry,1249466458586804224,False,https://t.co/wpKauXwwlH,en,April
Two of my favorites have come together at the perfect moment #toyourhealth #pressedxbragg 🍎 🍏 Check out @PressedJuicery to order online for contactless curbside pickup or delivery or go to,236,2020-04-09 22:07:14,Twitter for iPhone,5147,517,katyperry,1248371923307749376,False,https://t.co/2auxqdPWRp,en,April
Sending ❤️ out to all of you on this #ShoesdayTuesday! I will be donating 10% from the sale of every shoe and handbag from  in April and May to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19 💕,302,2020-04-08 03:05:44,Twitter for iPhone,7649,923,katyperry,1247722267540221952,False,https://t.co/F1qKGOllSl,en,April
this is how you wash with styyylesss,60,2020-04-07 19:20:51,Twitter for iPhone,8584,927,katyperry,1247605274380128256,False,https://t.co/C7rlCUGv9Y,en,April
"OMGEE We’re leaving it to you, America! We couldn’t choose between @GraceLeermusic &amp; @LaurenMascitti so we’re leaving it to you! Vote at  #AmericanIdol @emmylousongbird",219,2020-04-06 02:00:35,Twitter for iPhone,2338,216,katyperry,1246981095683321858,False,https://t.co/AeLQtxZkD5,en,April
It’s the end of the #AmericanIdol journey for #DemiRae 🥺 but the beginning of a new journey for her. Keep being the you you wanna see on stage girl! 💫,174,2020-04-06 01:46:37,Twitter for iPhone,6500,867,katyperry,1246977580198051840,False,https://t.co/wvfEaJWKrU,en,April
This is definitely love that I’m feeling for @ArthurGunn122’s pure light ✨#AmericanIdol,87,2020-04-06 01:41:35,Twitter for iPhone,2896,224,katyperry,1246976313258151936,False,,en,April
"YASSSTH @OliviaXimines not just the voice, not just the moves, but THE REVEAL AND I AM HERE FOR IT #AmericanIdol @LoveTinaTurner",152,2020-04-06 01:38:46,Twitter for iPhone,3522,323,katyperry,1246975603732971520,False,https://t.co/wQAyWtMmGT,en,April
We gotta look out cause the next generation is coming and they are NOT👏🏻HERE👏🏻TO👏🏻PLAY❗️@CyniahElise @MakaylaPhillips @iamlaurenmusic #AmericanIdol @MsPattiPatti,185,2020-04-06 01:25:03,Twitter for iPhone,1889,175,katyperry,1246972154517708801,False,https://t.co/LJBeoP9nTY,en,April
. @shan_gibbons all endings are also beginnings. Chin up butter cup ♥️🌱#AmericanIdol @adele,91,2020-04-06 01:17:46,Twitter for iPhone,2355,161,katyperry,1246970319111213061,False,,en,April
"I've said it before but IT. IS. NOT. EASY. saying no to some really great contestants like #GraceLundy. Mark my words, give it 5 years and Grace is gonna prove us wrong. It’s all about timing, sometimes 💫 #AmericanIdol",218,2020-04-06 01:15:23,Twitter for iPhone,2559,186,katyperry,1246969721494179842,False,,en,April
. @GabrielaKimmy has one of the best voices in the competition but she’s gotta round it all out now if she wants to go ALL THE WAY 💯 #AmericanIdol @ddlovato,180,2020-04-06 01:08:00,Twitter for iPhone,2518,271,katyperry,1246967863182684161,False,https://t.co/i3U1X5DkKG,en,April
"Also, I have a lot of respect for @mrBobbyBones. As you can tell, he wasn’t supposed to shoot that day (5 o’clock shadow, no makeup) but he means it when he says he’ll always be there for the contestants. I thought that was really cool of him 👍🏻 #AmericanIdol",259,2020-04-06 01:02:36,Twitter for iPhone,3937,213,katyperry,1246966502537846786,False,,en,April
"I hope #RobertTaylor keeps chasing those dreams, and the hair. Werk, but don’t overwork!  #AmericanIdol @eltonofficial",142,2020-04-06 00:54:15,Twitter for iPhone,1661,161,katyperry,1246964401212510210,False,https://t.co/fIWwaSyrV7,en,April
"I have no problem throwing @LukeBryanOnline and @LionelRichie under the bus, especially when I win the argument 💅🏻 It ain’t nothing but a hair flip hinny! You earned that top 20 spot @SophiaWackerman! #AmericanIdol @nickjonas",249,2020-04-06 00:42:09,Twitter for iPhone,2735,253,katyperry,1246961355837456389,False,https://t.co/srZN21OivL,en,April
"We love a good surprise at #AmericanIdol... So glad your dad got to see you make it to the top 20 @Aliana_Jester! And yes, that performance definitely earned a celebratory pool jump...",208,2020-04-06 00:35:39,Twitter for iPhone,1853,173,katyperry,1246959721296216065,False,https://t.co/yR8dL3gwLC,en,April
I’ve loved seeing @Julia_Gargano  AKA Julia GaGORGEOUS blossom 🌺 To be honest this rendition of #GlitterInTheAir by @pink was maybe my favorite performance in Hawaii yet... #AmericanIdol,186,2020-04-06 00:27:46,Twitter for iPhone,2152,200,katyperry,1246957738518671360,False,,en,April
Be the artist you want to see in your own students @FBooneMusic! I hope you continue to make your daughter AND your students PROUD ♥️🙏🏻 #AmericanIdol,149,2020-04-06 00:17:32,Twitter for iPhone,2448,194,katyperry,1246955163379568640,False,,en,April
I’m always gonna root for @genlinkowski and the strength/💪🏻vulnerability💪🏻 and growth she’s shown us over the last 2 years has been amazing 🌱#AmericanIdol @Lauren_Daigle,169,2020-04-06 00:14:15,Twitter for iPhone,2042,171,katyperry,1246954337110130689,False,,en,April
"Hope you can continue to keep seeing the VALUE in yourself @DillonJOfficial. You aren’t just a singer, you’re an ARTIST and every human life has VALUE ♥️ #AmericanIdol",191,2020-04-06 00:04:20,Twitter for iPhone,1922,199,katyperry,1246951839926378497,False,https://t.co/feuT5mj1la,en,April
It’s been a WEEK since we left you with a cliffhanger for @DillonJOfficial on #AmericanIdol 😳 Does it feel like it’s been forever or does it feel like yesterday?,161,2020-04-05 23:59:15,Twitter for iPhone,1599,167,katyperry,1246950559115915266,False,,en,April
"Make some tea as the tea is served... Real talk, tonight (and every night 💁🏼‍♀️) on #AmericanIdol 👀 Tune in for part ✌🏼 of Hawaii at 8/7c on @abcnetwork #stayathome",188,2020-04-05 22:05:21,Twitter for iPhone,6495,602,katyperry,1246921897540898816,False,https://t.co/s8kYZfTCCt,en,April
🇺🇸,26,2020-04-05 17:41:54,Twitter for iPhone,4730,445,katyperry,1246855595811995648,False,https://t.co/TjjshW8e5l,en,April
love you guys,13,2020-04-05 04:52:05,Twitter for iPhone,79611,7307,katyperry,1246661864664096768,False,,en,April
💕 it’s a girl 💕 @ Girls Run The World,61,2020-04-04 03:32:18,Instagram,77740,9517,katyperry,1246279400754229249,False,https://t.co/2Nd5jPaqo1,en,April
Today’s #ShoesdayTuesday: staying home but making it pineapple🍍 @kpcollections,102,2020-04-01 02:49:34,Twitter for iPhone,18529,1775,katyperry,1245181481003057152,False,https://t.co/EjiN2Nmtbu,en,April
