Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"To the people of Windsor-Essex: Thank you for being patient. We are doing everything we can to assist in reducing case numbers so that you can join other regions in Stage 2. We’re ramping up our testing strategy, including sending some of our mobile testing units to large farms.",303,2020-06-22 21:54:14,Twitter for iPhone,236,35,fordnation,1275185352781807618,False,https://t.co/kT2mr2cqB1,en,June,Q2
"We know that Ontarians are spending a lot of time outdoors right now. If you’re bringing your furry friend along, please do not leave them unattended in your vehicle. It’s illegal, and extreme temperatures inside vehicles can be fatal to pets.",291,2020-06-22 19:34:36,Twitter for iPhone,520,132,fordnation,1275150212424761344,False,https://t.co/lag5ooi0DD,en,June,Q2
"We have consulted with our medical experts and are pleased to announce that as of Wednesday, June 24 at 12:01AM City of Toronto and Peel Region will enter Stage 2.",212,2020-06-22 17:10:34,Twitter for iPhone,920,376,fordnation,1275113967195742208,False,https://t.co/PCPDSjjOUq,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-22 17:01:32,Twitter Media Studio,108,30,fordnation,1275111694050758657,False,https://t.co/r170JD7BgX,en,June,Q2
"Thanks to the help of businesses across Ontario, we’ve secured: 
✅ 21 million gowns 
✅ 123 million masks 
✅ 10,000 ventilators 
✅ 4 million face shields, and 
✅ 173 million surgical gloves 
That’s the #OntarioSpirit.",240,2020-06-22 13:55:10,Twitter for iPhone,463,67,fordnation,1275064792739266560,False,https://t.co/EudmSioKEU,en,June,Q2
"When it comes to getting kids back in school, we can’t rely on a blanket solution for all regions. 

We’re working on giving school boards the tools and guidelines they need so that they can make the right decision for their region.",256,2020-06-22 12:14:39,Twitter for iPhone,462,61,fordnation,1275039493804957697,False,https://t.co/JXxlA2gLLg,en,June,Q2
"Happy Fathers Day to all the dad’s out there. I know this year hasn’t been easy for many families but keep in mind, there’s no distance or time that can come between the closeness we have with our children. Stay safe and God bless all wonderful dads out there.",284,2020-06-21 15:31:11,Twitter for iPhone,1564,87,fordnation,1274726565583126529,False,https://t.co/xEG2k6y8y5,en,June,Q2
Wishing all the great dads across Ontario a very Happy Father’s Day! Today is about appreciating all of the love and support from hard working dads over the years. Thank you for all that you do.,218,2020-06-21 13:55:14,Twitter for iPhone,1829,150,fordnation,1274702419511980032,False,https://t.co/1b8vckYzHd,en,June,Q2
"COVID-19 update for June 19, 2020. Check back daily for updates or visit",120,2020-06-19 23:42:57,Twitter for iPhone,78,17,fordnation,1274125549108105222,False,https://t.co/gMeZp5IKu5,en,June,Q2
"We’re giving school boards the flexibility to reopen schools in a way that works best for their unique challenges and priorities. 

Through the summer @Sflecce will work alongside school boards to finalize plans that fit the needs of their communities.",302,2020-06-19 21:02:02,Twitter for iPhone,187,46,fordnation,1274085052742336513,False,https://t.co/5Knm8TV1hx,en,June,Q2
