Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"I am very grateful for the hard work of @JobsUT over the past several weeks. We know this is a trying time for many Utahns, but are hopeful Utah will be able to minimize coronavirus' economic impact on families.",235,2020-05-22 20:21:05,Twitter Web App,55,5,GovHerbert,1263927885531766784,,60688326,False,https://t.co/KvMTDDcRta,en,May,Q2
"Utah’s color-coded health guidance for Southeastern Utah does not apply to the current situation on Navajo Nation lands located in Utah, as these are sovereign lands. We strongly encourage Utah residents living on tribal lands to follow all tribal health directives.",266,2020-05-22 19:20:52,Twitter Web App,29,0,GovHerbert,1263912732090183681,60688326.0,60688326,False,,en,May,Q2
"Because of difficult conditions in the Navajo Nation and along its borders, Utah is moving Bluff and Mexican Hat from Low Risk (Yellow) to Moderate Risk (Orange) today to signal the significant health risk in the area. #utcovid19",229,2020-05-22 19:20:52,Twitter Web App,35,2,GovHerbert,1263912731368812546,60688326.0,60688326,False,,en,May,Q2
,23,2020-05-22 19:20:52,Twitter Web App,12,0,GovHerbert,1263912730634809344,60688326.0,60688326,False,https://t.co/vIIQ2HJaXg,en,May,Q2
"Utah is assisting tribal governments by standing up mobile testing sites, providing sample collection kits and testing equipment, PPE, and funding through the Urban Indian Center of Salt Lake and Utah's legislature. We are coordinating through regular calls to assess needs.",274,2020-05-22 19:20:51,Twitter Web App,41,1,GovHerbert,1263912729883979777,60688326.0,60688326,False,,en,May,Q2
We so appreciate working with @NNPrezNez on efforts to combat COVID-19. Our hearts go out to all of our Navajo friends who have been impacted by this awful virus.,162,2020-05-22 19:20:51,Twitter Web App,29,0,GovHerbert,1263912729162604544,60688326.0,60688326,False,,en,May,Q2
"Farmers Feeding Utah will also distribute 10,000 pounds of flour to Navajo chapter members - with more deliveries of live sheep to follow in the coming weeks.",158,2020-05-22 19:20:51,Twitter Web App,33,0,GovHerbert,1263912728453767168,60688326.0,60688326,False,,en,May,Q2
"Today my Deputy Chief of Staff @MikeLMower traveled to Blanding with representatives from the Utah Department of Agriculture and @UtahFarmBureau to help deliver 18,000 pounds of lamb to Blanding’s food pantry to assist the Navajo Nation.",261,2020-05-22 19:20:51,Twitter Web App,247,24,GovHerbert,1263912727392616448,,60688326,False,https://t.co/ls6NPBeIDq,en,May,Q2
"Thanks to my friend Jeff Robbins for sending this picture to me. Jerry was old school, a legend, and will be greatly missed. #TakeNote",158,2020-05-22 18:02:13,Twitter Web App,81,3,GovHerbert,1263892939354157057,,60688326,False,https://t.co/xtbGKVRefn,en,May,Q2
Jerry Sloan was a fierce competitor and disciplinarian - and he was the heart and soul of the Utah Jazz for years. His emphasis on defense and team play got the most raw talent out of the players. Our prayers are with Jerry Sloan’s family and friends as they mourn his passing.,301,2020-05-22 16:32:41,Twitter Web App,304,16,GovHerbert,1263870407133683713,,60688326,False,https://t.co/cz9QlBLESe,en,May,Q2
