,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
220,"Today, I join millions of Canadians in wishing Her Majesty Queen Elizabeth II a very happy 94th birthday. She has stood by Canada with extraordinary strength and enduring grace, and we wish her continued health and happiness in the years ahead. https://t.co/a082TYvKRS",268,2020-04-21 17:48:19,Twitter for iPhone,4442,629,en,False,March
224,"We need to look out for one another in these difficult times. That’s why we’re taking these steps to get our most vulnerable the help they need, when they need it. For more details on today’s announcement, click here: https://t.co/ZS6zsqWmzK",241,2020-04-21 15:59:49,Twitter for iPhone,489,90,en,False,March
225,"We’re making sure these organizations can keep delivering groceries and medications, driving seniors and persons with disabilities to appointments, offering support through help lines, training volunteers, and so much more. Because this work is needed now more than ever.",271,2020-04-21 15:59:49,Twitter for iPhone,628,76,en,False,March
226,"People across the country are feeling the impacts of COVID-19. For many who were already facing challenges, it’s even harder now. So to get them the help they need, we’re giving more support to charities and non-profit organizations through the Emergency Community Support Fund.",278,2020-04-21 15:59:49,Twitter for iPhone,2670,386,en,False,March
230,We’re announcing more support for the charities and non-profit organizations that deliver essential services to our most vulnerable. Watch my announcement live for more details on how we’re helping those in need: https://t.co/qVbmYTbikd,236,2020-04-21 15:17:16,Twitter for iPhone,752,166,en,False,March
234,"The Holocaust was one of the darkest periods in human history. And on Yom HaShoah, we pause to remember the more than six million Jews who were murdered by the Nazis. We must make sure these atrocities are never forgotten - or ever repeated. #NeverAgain https://t.co/4UFMGQdPTv",277,2020-04-21 13:01:37,Twitter for iPhone,2020,436,en,False,March
236,Click here to read my full speech: https://t.co/YQNxLso4d9,58,2020-04-21 02:45:04,Twitter for iPhone,640,121,en,False,March
238,"There are no words for the pain felt by the families and loved ones of the victims. But I want them to know that all Canadians are with them. That this senseless, evil act will not define Nova Scotia. Today, all Canadians are Nova Scotian. https://t.co/yYC7rrWwMH",263,2020-04-21 02:43:07,Twitter Media Studio,8283,1260,en,False,March
240,"Without pause and without hesitation, our first responders take risks and make sacrifices every day to keep us safe - and this tragedy has been a painful reminder of the work they do. Thank you for your service. We’re mourning the loss of Cst. Heidi Stevenson with you. https://t.co/uNQ0QYtv50",293,2020-04-21 01:13:09,Twitter for iPhone,4288,595,en,False,March
242,Please read my full statement: https://t.co/bjeAeDaNhb,54,2020-04-21 00:03:16,Twitter for iPhone,327,61,en,False,March
