;great;thank;president;trump;democrats;fake;mini;hoax;impeachment;news;mike;bernie;people;big;new;@foxnews;military;democrat;republican;party;state;america;iowa;strong;endorsement;country;crazy;mueller;vets;#maga;russia;congress;vote;complete;win;good;dems;history;border;states;do_nothing;campaign;carolina;nothing;house;coronavirus;#2a;working;help;wonderful;job;china;tonight;witch;bad;money;usa;loves;united;hampshire;bloomberg;supports;best;everyone;debate;corrupt;agenda;south;jobs;record;american;scam;trial;rally;polls;john;debates;congratulations;countries;place;night;texas;@cnn;senator;judge;think;#kag2020;totally;honor;hope;numbers;election;economy;wall;sanders;deal;senate;stop;phony;crime
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0
do_nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;6;0;0;0;0;0;2;0;2;8;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;2;0;6;2;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;4;2;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2
carolina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;2;4;0;0;2;16;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;4;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;2;2;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;6;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
#2a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;18;0;0;0;12;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;4;0;4;0;0;0;0;0;8
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;4;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2
