;#covid19;#togetherky;#teamkentucky;beshear;governor;#healthyatwork;watch;information;live;visit;update;5;kentuckians;#healthyathome;ab;updated;thank;et;shares;kentucky;via;testing;safe;may;tune;todays;together;help;take;protect;gov;guidelines;weekend;conference;andy;reopening;remember;register;wear;health;stay;tomorrow;economy;news;mask;updates;care;please;honor;ahead;daily;june;new;special;follow;following;lets;public;#patriot;week;capitol;share;friday;yesterday;locations;still;spread;hate;reopen;thanks;announced;family;masks;statement;commonwealth;louisville;across;#memorialday;available;advantage;safely;step;plans;include;state;fight;full;proud;lives;face;call;beshears;online;#whyiwearamask;thing;making;tonight;healthy;primary;monday
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;2;0;2;0;2;0;4;4;0;2;4;8;0;0;0;4;2;2;0;2;2;6;0;0;0;0;0;0;2;0;0;0;6;2;2;2;0;0;0;0;2;2;0;0;2;0;2;2;4;2;0;2;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;4;6
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;18;0;2;0;0;0;0;2;0;0;16;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;4;0;0;0;2;0;2;0;4;0;2;0;2;2;2;4;0;4;0;0;2;2;4;0;2;2;4;2;0;2;2;0;0;4;4;0;2;0;0;0;0;0;0;0;0;4;2;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;4;0;0;2;6;0;0;0;0;0;10;0;0;2;0;0;0;0;2;0;0;0;4;0;0;2;2;4;2;2;0;0;2;0;0;2;0;4;0;4;0;2;10;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;6;0;0;0;0;0;6;0;4;0;0;0;2;0;4;2;2;2;4;0;0;2;0;2;0;2;0;2;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;6;2;2;0;0;0;0
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;16;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;2;0;0;0;2;0;4;4;2;0;0;0;0;2;0;0;0;0;0;0;2;2
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;6;0;0;4;4;0;4;0;2;2;2;2;0;2;6;4;4;0;10;4;2;4;0;4;0;2;0;4;0;6;0;0;4;0;4;0;2;0;2;0;0;2;0;0;6;2;2;6;0;0;0;2;4;0;0;0;0;0;2;2;0;2;0;0
weekend;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;10;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;0;4;0;0;0;0;0;2;0;0;0;10;0;0;2;0;0;4;0;4;2;0;0;0;0;2;0;0;0;0;0;2;2;0
