;#covid19;#teamkentucky;#togetherky;beshear;governor;live;watch;#healthyathome;kentuckians;update;visit;information;thank;ab;et;kentucky;updated;5;shares;#healthyatwork;#patriot;help;together;testing;via;gov;todays;health;conference;protect;safe;care;andy;commonwealth;new;news;tune;4;remember;facebook;fight;full;state;june;reopening;take;updates;tomorrow;across;lets;may;week;honor;weekend;guidelines;2;locations;10;register;follow;economy;following;share;yesterday;shared;tonight;mask;call;lost;louisville;wear;cases;please;work;making;spread;daily;stay;public;next;states;support;thing;proud;important;green;continue;lives;special;steps;family;place;guidance;masks;home;workers;people;#socialdistancing;communities;reopen
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;6;2;0;0;10;0;6;0;2;0;2;0;0;0;0;6;2;0;0;0;2;4;0;6;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0
lets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;2;0;0;2;0;2;0;0;0;2;0;8;2;0;8;0;0;2;0;0;4;2;2;0;0;0;2;0;2;4;0;6;2;6;0;4;0;2;0;0;2;2;4;0;2;4
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;2;0;0;0;2;2;0;0;2;0;0;0;2;2;2;0;0;2;4;0;4;2;0;0;0;2;0;0;0;0;0;2;6;2;0;0;0;0;0;2;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;6;2;0;0;4;2;4;2;0;0;0;2;0;0;2;2;4;0;8;2;2;2;0;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;2
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;8;0;0;10;2;2;0;0;2;0;0;0;0;2;0;0;0;2;2;2;10;0;4;2;0;2;0;0;0;6;2;0;0;2;0
weekend;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;0;0;0;6;0;0
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;16;4;6;2;4;2;0;4;0;0;0;2;0;2;0;2;0;6;4;4;0;0;0;2;2;2;0;0;4;0;4;0;2;0;2;0;0;4;2;0;6
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
locations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;2;0;0;0;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;12;0;4;2;0;0;2;4;0;0;6;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;10;2;0;2;0;0;0;0;0;0;2
register;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;6;2;0;0;0;2;4;0;0;0;0;2;2;0;0;2;0;10;0;4;6;0;0;0;2;4;0;8
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;4;0;0;2;0;0;2;0;4;2;6;2;0;0;0;6;2;0;0;4;0;0;0;2;0;2;0;0;0;4;0;0;6
following;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;0;4;0;0;2;2;4;2;2;4;2;6;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;2;2;0;2;2;0;0;0
share;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;4;0;4;0;0;2;4;2;4;0;4;0;0;0;6;0;0;0;6;0;0;0;4;0;0;2;0;0;0;0;0;0
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;2;4;4;2;4;2;6;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0;4;4;0;2;0;2;4;2
