;district;residents;dc;housing;learn;#fairshot;help;2020;community;year;visit;washingtonians;new;ensure;across;live;#saferstrongerdc;programs;ward;call;affordable;program;safe;work;home;districts;#36000by2025;@usmayors;working;#dc2020acr;great;#dcproud;find;resources;wards;greenery;walk;tree;meet;create;free;anacostia;join;holiday;8;stamp;newsletter;health;opportunities;opportunity;together;family;happy;mayor;weeks;director;gun;thank;mlk;week;annual;#getcovereddc;#staycovereddc;visiting;plan;king;build;#dcstatehood;insurance;stay;schedule;quality;best;dr;@mbsyep;updated;historic;representative;@usps;businesses;give;needs;sign;census;federal;honor;take;public;goal;legacy;gwen;celebrate;@dchealthlink;bold;martin;gateway;january;assistance;luther;continue
holiday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;2;0;0;0;0;4;0;0;6;6;2;2;0;0;0;6;2;0;4;0;0;0;0;4;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4
stamp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;6;0;0;0;2;10;2;0;0;0;0;0;0;0;0
newsletter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;12;12;4;4;0;0;0;12;2;0;8;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0
opportunities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;6;2;0;0;2;2;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
opportunity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;6;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;6;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;6;2;2;2;0;0;6;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;4;2;2;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
