;united;great;people;president;states;trump;new;american;government;national;state;federal;obama;news;world;administration;best;department;working;house;justice;senate;washington;police;man;history;love;country;court;white;party;post;fbi;big;york;former;donald;good;help;america;democrats;campaign;million;republican;week;may;law;times;investigation;security;city;election;hillary;americans;2016;job;democratic;fake;bill;russia;another;called;crime;win;war;presidential;information;year;work;media;important;support;killed;supreme;vote;nothing;used;team;public;number;greatest;tax;report;following;proud;congress;released;committee;california;article;continue;thank;book;reporting;stop;fact;millions;republicans;trumps;china
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;2;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;0;0;0;4;4;0;6;2;2;0;0;0;2;4;2;0;0;8;2;0;2;0;2;0;2;2;2;4;0;4;0;2;4;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;4;2;4;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;2;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;24;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;8;0;0;0;0;0;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;0;0;8;2;2;14;0;0;0;0;0;0;2;2;0;2;2;2;6;4;0;0;4;2;2;2;0;4;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;2;2;0;4;0;2
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;4;0;2;6;0;2;0;2;0;2;0;4;0;0;0;0;2;2;0;0;0;4;0;2;0;2;2;0;4;0;4;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;12;0;0;2;0;2;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;4;0;0;0;4;0;0;4;2;2;0;4;2;4;2;0;0;0;4;0;0;2;0;0;4;4;0;2;2;2;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;2;0;2;2;4;0;0;0;0;0;0;6;0;4;0;4;0;0;4;2;2;0;0;0;10;0;0;0;0;2;0;0;0;0;0;2;4;2;6;2;0;2;2;0;0;6;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;0;0;0;6;2;2;0;16;0;0;6;0;0;0;2;0;0;0;0;2;0;4;2;0;0;0;2;2;2;0;2;0;2;0;0;0;2;0;0;2;0;0;4;0;2;0;0;0;0;6;0;0;0;4;0;0;0;0;2;0
