Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"I commend and thank every member of the House of
Representatives for doing their jobs and placing the safety and health of our state's residents above politics.

(2/2)",167,2020-04-08 22:14:05,Twitter Web App,91,18,henrymcmaster,1248011257539514370,16335288.0,16335288,False,,en,April,Q2,"['commend', 'thank', 'member', 'house', 'ofrepresentatives', 'jobs', 'placing', 'safety', 'health', 'states', 'residents', 'politics22']"
"There appears to be no tactic or action too deceitful or reckless for the leaders of Santee Cooper to employ. This includes exploiting the pandemic to maintain the status quo with today’s five-hour Senate filibuster.

(1/2)",223,2020-04-08 22:14:05,Twitter Web App,106,32,henrymcmaster,1248011256390250496,,16335288,False,,en,April,Q2,"['appears', 'tactic', 'action', 'deceitful', 'reckless', 'leaders', 'santee', 'cooper', 'employ', 'includes', 'exploiting', 'pandemic', 'maintain', 'status', 'quo', 'todays', 'fivehour', 'senate', 'filibuster12']"
"Every day, our primary objective is to protect South Carolinians, but we also must act to protect the state’s economy. This order does both. It allows our businesses to take care of their employees as best as they can &amp; will help our economy recover from this unprecedented time.",307,2020-04-08 20:28:20,TweetDeck,185,56,henrymcmaster,1247984645330866177,,16335288,False,https://t.co/Sh2JMBtuyJ,en,April,Q2,"['primary', 'objective', 'protect', 'south', 'carolinians', 'act', 'protect', 'states', 'economy', 'order', 'allows', 'businesses', 'take', 'care', 'employees', 'best', 'help', 'economy', 'recover', 'unprecedented']"
"All retail businesses remaining open must limit customers inside to no more than 5 customers per 1,000 square feet or 20% of maximum capacity, whichever is less. 

(3/)",168,2020-04-06 21:56:24,Twitter for iPhone,90,41,henrymcmaster,1247282033807761416,16335288.0,16335288,False,,en,April,Q2,"['retail', 'businesses', 'remaining', 'limit', 'customers', 'inside', '5', 'customers', 'per', '1000', 'square', 'feet', '20', 'maximum', 'capacity', 'whichever', 'less', '3']"
"The list of closed businesses remains the same: 

1. Entertainment venues and facilities
2. Recreational and athletic facilities and activities
3. Close-contact service providers
4. Non-essential retail stores 

Details and clarification request: 
 

(2/)",278,2020-04-06 21:56:24,Twitter for iPhone,63,41,henrymcmaster,1247282032964775944,16335288.0,16335288,False,https://t.co/YAPGUcTwme,en,April,Q2,"['list', 'closed', 'businesses', 'remains', '1', 'entertainment', 'venues', 'facilities2', 'recreational', 'athletic', 'facilities', 'activities3', 'closecontact', 'service', 'providers4', 'nonessential', 'retail', 'stores', 'details', 'clarification', 'request', '2']"
"I have issued a Home or Work order. All South Carolinians must remain at home or work unless visiting family, exercising, or obtaining essential goods or services. 

(1/)",194,2020-04-06 21:56:24,Twitter for iPhone,391,184,henrymcmaster,1247282031911976960,,16335288,False,https://t.co/IWtiQXz5qJ,en,April,Q2,"['issued', 'home', 'work', 'order', 'south', 'carolinians', 'remain', 'home', 'work', 'unless', 'visiting', 'family', 'exercising', 'obtaining', 'essential', 'goods', 'services', '1']"
"Businesses needing clarification can visit the @SCcommerce website for additional information: 

(3/)",124,2020-04-03 22:00:32,Twitter Web App,51,35,henrymcmaster,1246195909492379651,16335288.0,16335288,False,https://t.co/vhD3ASKLbL,en,April,Q2,"['businesses', 'needing', 'clarification', 'visit', '@sccommerce', 'website', 'additional', 'information', '3']"
"•Jewelry Stores
•Luggage and Leather Goods Stores
•Department Stores
•Florists
•Sporting Goods Stores
•Book Stores
•Craft and Music Stores

(2/)",144,2020-04-03 22:00:32,Twitter Web App,98,53,henrymcmaster,1246195907865063425,16335288.0,16335288,False,,en,April,Q2,"['jewelry', 'storesluggage', 'leather', 'goods', 'storesdepartment', 'storesfloristssporting', 'goods', 'storesbook', 'storescraft', 'music', 'stores2']"
"Unfortunately, due to reports of non-compliance we are expanding the list of non-essential business closures in South Carolina. 

New closures include:
•Furniture Stores
•Home Furnishing Stores
•Clothing
•Shoe and Clothing Accessory Stores

(1/)",245,2020-04-03 22:00:31,Twitter Web App,306,133,henrymcmaster,1246195906501849089,,16335288,False,,en,April,Q2,"['unfortunately', 'due', 'reports', 'noncompliance', 'expanding', 'list', 'nonessential', 'business', 'closures', 'south', 'carolina', 'new', 'closures', 'includefurniture', 'storeshome', 'furnishing', 'storesclothingshoe', 'clothing', 'accessory', 'stores1']"
"Providing this non-identifying information violates no state or federal privacy laws and is in the public’s interest.  It is my hope this disclosure will reinforce to South Carolinians the seriousness and dire necessity of staying home to prevent the spread of #covid19

(2/2)",276,2020-04-03 12:30:41,Twitter for iPhone,306,91,henrymcmaster,1246052499221553157,16335288.0,16335288,False,,en,April,Q2,"['providing', 'nonidentifying', 'information', 'violates', 'state', 'federal', 'privacy', 'laws', 'publics', 'interest', 'hope', 'disclosure', 'reinforce', 'south', 'carolinians', 'seriousness', 'dire', 'necessity', 'staying', 'home', 'prevent', 'spread', '#covid1922']"
