;help;covid19;support;country;canada;across;together;working;spoke;work;business;safe;canadians;food;new;people;update;pandemic;world;thank;details;making;countries;workers;live;watch;emergency;taking;tune;businesses;steps;health;seniors;global;family;jobs;call;talked;giving;prime_minister;provinces;able;keeping;#canadahomeworkhelp;difficult;info;territories;announcing;click;protect;fight;apply;home;owners;focused;phone;morning;wage;economic;virus;benefit;crisis;youll;program;front;response;government;lives;helping;question;times;important;week;families;think;everyone;rent;testing;economies;kids;international;pay;child;whether;latest;communities;economy;increase;challenges;organizations;impacts;virtual;healthy;means;thanks;indigenous;measures;subsidy;canadian;thoughts
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;6;4;2;6;2;2;2;0;4;0;2;4;2;2;2;0;0;0;2;0;6;8;0;0;4;0;2;0;2;0;4;0;2;2;4;4;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;2;2;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;2;0;0;0;4;0;2;0;2;0;2;0;2;2;2;0;2;2;2;2;6;2;4;0;0;4;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;4;0;2;2;0;6;2;0;0;2;2;0;0;2;2;0;2;4;0;0;0;0;8;2;0;0;0;0;2;0
countries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;2;4;0;4;0;2;0;2;0;8;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;6;6;0;4;6;0;0;0;0;0;2;6;2;0;0;0;2;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;4;6;4;4;0;0;0;6;0;0;4;0;2;2;2;0;0;2;2;4;2;4;0;0;2;8;2;0;0;6;0;0;0;0;0;0;4;0;0;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;6;2;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;4;2;0;4;4;2;2;4;0;0;0;4;0;4;0;0;0;2;6;4;4;0;2;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;2;0;2;0;4;0;0;0;0;4;0;2;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;4;2;2;6;0;0;0;4;0;4;0;0;0;4;8;4;6;0;0;0;0;2;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;2;0;4;0;2;0;0;4;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;6;0;0;0;0;2;2;2;0;0;0;2;0;4;4;0;6;0;8;0;0;0;6;0;0;4;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;8;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;6;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;22;0;2;0;0;2;0;2;8;2;2;2;2;0;0;2;2;2;4;2;0;0;0;4;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;4;0;0;0;14;0;0;0;4;0;0;2;0;6;0;0;0;0;0;4;4;0;0;0;0;0;0;4;0;0;0;4;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;6;2;0;0;0;2;2;0;2;0;0;4;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;10;0;2;2;0;2;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
