;covid19;connecticut;people;news;briefing;data;updates;live;latest;died;discuss;tested;state;update;positive;hospitalized;visit;patients;daily;#memorialday;tests;happening;#honorthefallen;reported;currently;army;hold;sets;youtube;facebook;health;states;iraq;connecticutwatch;todays;video;watch;thank;school;workers;new;covid19watch;de;air;call;afghanistan;high;icymi;care;connecticuts;4pm;reopening;tracker;click;provide;nursing;help;work;staff;impact;working;public;best;age;home;sgt;cases;residents;heres;pandemic;community;marine;#covid19;medical;efforts;safety;order;phase;reopen;minutes;businesses;communities;join;400;tonight;together;testing;safe;support;ct;@ctnationalguard;regarding;virus;executive;continue;joined;advisory;hospitals;may;conference
air;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;6;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;36;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;2;2;0;2;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;26;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8
afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;10;0;24;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;10;0;0;2;0
high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;12;0;14;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;10;2;0;4;0
icymi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;8;0;0;0;4;4;0;0;6;0;0;0;0;4;2;0;0;2;2;2;4;0;0;0;2;6;0;0;6;2;0;0;4;4;10;0;0;4;2;0;0;10;2;0
connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;10;6;2;0;2;2;4;4;2;0;0;0;0;2;8;4;4;0;2;8;6;4;0;6;2;0;6;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
4pm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;2;2;0;0;0;0;0;12;0;0;0;2;0;4;2;2;0;2;0;0;2;8;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;2;2
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;4;6;8;0;2;0;0;0;0;2;0;0;0;2;4;6;0;22;4;0;10;0;2;0;2;0;0;4;2;2;0;0;0;0;6;0;2;0;10;0
tracker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
