;mississippi;state;stay;people;working;safe;mississippians;help;please;covid19;great;together;work;protect;home;ms;god;health;thank;care;take;new;live;local;bless;family;join;continue;order;lives;mississippis;facebook;workers;honor;fight;tomorrow;across;everyone;forward;grateful;spread;response;unemployment;country;news;tonight;briefing;efforts;days;national;leaders;neighbors;share;president;states;loved;strong;good;system;future;public;woman;disease;#stayhealthyms;women;emergency;families;prayer;elee;ones;celebrate;amazing;lot;proud;truly;trying;hope;communities;plan;week;making;responders;another;give;easter;cant;questions;testing;helping;could;hard;students;nation;businesses;still;support;storms;asked;@realdonaldtrump;able
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;4;6;4;2;4;0;0;0;0;0;4;0;4;0;0;4;0;2;2;0;4;0;4;2;0;0;0;0;0;0;2;6;0;2;0;0;0;2;2;0;2;0;0;0;0;0;6;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;2;0;0;0;4;0;0;6;0;10;0;0;0;0;2;0;0;0;0;0;0;6;0;0;4;0;0;0;2;0;8;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;4;0;6;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;2;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;6;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;2;0;0;0;2;0;0;0;0;2;0;2;2;0;6;2
days;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;4;2;2;0;4;4;2;0;4;0;0;0;4;0;0;0;0;2;0;4;0;2;0;0;2;0;0;4;0;0;2;0
leaders;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;2;0
neighbors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;2;2;0;2;0;0;0;0;2;2;4;0;0;0
share;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;2
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;2;0;0;2;2;0;2;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;2;2;0;16;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;6;0;2;0;2;0;0;2;2;2;0;4;2
loved;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;26;2;0;0;0;2;0;0;0;6;0;0;0;2;2;0;0;6;0;0;2;2;0;0;0;4;0;0;0;0;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;6;2;0;0;0;2;0;0;2;2;2;2;2;2;0;6;2
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
