;live;#dcstatehood;home;dc;district;june;workouts;#fitdc;covid19;free;residents;coronavirus;2;test;move;ready;bring;seniors;4;statehood;update;without;testing;follow;thank;state;representation;3;continue;along;1;burn;vote;kids;energy;situational;walk;lives;engine;help;please;sites;51st;new;join;federal;assistance;program;5;tested;curfew;public;city;support;work;rights;house;columbia;stand;visit;protect;across;8;locations;voting;service;emergency;available;street;community;11;guard;ave;love;due;6;police;businesses;fight;recovery;together;housing;congresswoman;requested;programs;justice;economic;relief;matter;10;services;americans;starts;request;historic;7;stay;shortly;heat;still
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
curfew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;2;6;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2
rights;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0
