;health;public;covid19;toronto;city;new;@topublichealth;people;data;childcare;safe;staff;work;system;safely;care;continue;important;recovery;learn;physical;contact;province;support;case;masks;community;access;child;without;reopen;distancing;provincial;services;local;mask;help;pandemic;food;forward;supply;reopening;accessible;spread;results;board;response;follow;torontos;take;cases;housing;tips;program;affordable;place;ontario;live;virus;management;plan;within;cant;risk;medical;lab;torontonians;reporting;capacity;racism;working;clear;information;spaces;tracing;centres;ways;key;step;move;social;hours;gets;morning;programs;update;lanes;crisis;full;order;systems;approach;officer;year;units;guidelines;find;wearing;government;protect
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;8;0;0;0;0;0;6;0;4;0;0;6;0;0;4;0;4;0;4;0;0;0;6;6;2;2;0;0;2;2;6;0;0;0;2;0;2;0;0;0;2;6;4;0;0;0;8;0;0;0;0
accessible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;18;2;4;0;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;6;0;0;0;0;4;0;0;14;4;0;6;0;2;4;2;2;2;2;0;0;6;2;4;6;2;0;0;2;0;0;6;0;2;0;2;0;0;0;2;0;2;4;0;4;0;0;4;0;0
results;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;2;6;0;6;2;0;4;4;0;6;0;0;2;0;4;0;6;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
board;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;4;2;2;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;6;0;2;2;0;2;0;0;4;2;0;0;2;0;2;0;4;0;6;2;0;0;4;2;0;0;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;0;0;0;0;4;4;0;4;0;2;6;0;0;0;0;0;0;0;6;4;0;0;2;4;4;0;0;2;0;4;2;8;0;4;2;2;0;0;6;0;0;0;0;0;0;2
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;2;4
torontos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;6;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0;0;0;4;0;4;2;2;2;0;0;0;6;4;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;6;2;0;6;4;0;0;6;0;6;0;0;0;0;2;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;4;0;0;4;0;0;2;0;2;2;4;0;0;0;2;6;0;8;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0
