;#covid19;pennsylvania;masks;phase;businesses;pennsylvanians;guidance;health;green;safety;help;reopening;people;safe;yellow;place;care;counties;wear;cases;business;mask;thank;new;face;required;sports;distancing;follow;pandemic;work;social;million;continue;inperson;restrictions;still;food;employees;indoor;public;community;covid19;lives;pa;wearing;entering;philadelphia;across;12;spread;declaration;dining;police;enforcement;commonwealth;provide;law;resources;disaster;allowed;measures;protect;#maskuppa;school;reopen;criminal;please;unemployment;pennsylvanias;@pahealthdept;states;days;sacrifices;may;move;gatherings;stay;facilities;learn;reminder;state;lgbtq;prek;heres;programs;address;practice;black;congregate;june;customers;racism;available;restaurants;shopping;3;services;child;without
help;0;0;0;0;0;0;0;0;0;0;0;4;2;6;0;0;0;0;2;2;2;2;6;2;4;2;0;0;2;6;2;0;4;0;0;0;0;6;2;0;0;0;6;0;4;2;0;0;2;2;4;4;0;0;0;8;2;0;12;4;0;0;0;2;2;2;0;4;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;2
reopening;0;0;0;0;0;0;0;0;0;0;0;0;2;2;14;4;0;16;0;6;0;0;2;4;0;0;0;0;2;4;4;0;2;0;0;4;6;0;0;4;2;0;2;0;2;2;2;2;0;6;4;2;4;0;0;2;2;0;0;2;2;2;0;0;2;2;0;0;0;0;0;2;0;2;0;4;0;0;0;4;0;4;0;2;4;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;6;6;6;4;0;2;4;6;6;6;0;0;4;6;4;0;0;0;0;0;0;0;4;2;0;4;2;2;2;4;4;2;2;0;0;0;2;0;0;2;0;0;4;0;4;2;2;0;0;0;0;2;0;2;0;0;4;2;4;2;0;2;0;2;0;2;0;0;2;6;2;0;0;0;4;0;2;0;0;0;0;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;4;0;6;6;2;0;0;2;2;2;2;0;2;2;2;0;0;0;4;4;0;2;4;0;0;4;2;0;2;4;2;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;6;0;0;0;2;2;2;0;0;0;2;0;8;0;2;0;0;0;2;4;0;0;2;2;2;0;2;2;0;2;2;0;0;0;0
yellow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;10;0;4;4;0;0;2;0;4;4;2;4;0;0;2;0;2;8;6;6;0;0;8;2;0;2;0;0;2;4;2;0;8;2;0;8;0;0;2;0;0;0;0;6;6;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;4;2;0;4;0;4;4;0;0;0;0;4;2;0;0;0;0;4;2;4;4;0
place;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;8;2;2;0;0;8;0;4;8;2;0;4;0;0;8;10;10;2;6;6;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;10;12;2;0;0;0;0;0;0;0;0;0;0;2;0;0;8;2;10;4;0;0;2;0;0;0;0;2;0;8;0;4;0;0;0;0;0;4;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;4;0;0;2;8;0;0;0;0;0;0;0;8;8;8;0;0;8;4;0;0;0;0;2;0;0;4;8;0;2;8;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;10;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;8;0;8;8;0
counties;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;2;0;2;0;2;4;0;0;2;4;0;4;0;0;4;2;6;0;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;2
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;2;2;8;6;2;4;4;0;0;4;2;6;0;0;0;0;2;2;8;0;2;2;0;0;6;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;4;8;0;2;0;4;0;2;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;6;2;4;0;4;0;0;6;4;0;4;0;0;0;0;0;0;2;2;0;2;2;6;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;6;6;4;0;0;0;0;0;2;0;6;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4
