;#covid19;live;provide;may;fight;indiana;et;state;virtual;press;hold;updates;livestream;130;watch;conference;ct;230;hoosiers;tune;order;health;executive;website;twitter;hour;minutes;15;facebook;business;businesses;resources;@statehealthin;information;available;found;support;states;help;across;hoosier;social;@cdcgov;continue;people;#inthistogether;million;work;economic;capacity;funding;critical;school;care;announced;remain;distancing;face;public;education;recovery;new;county;stage;medical;indianas;pandemic;services;plan;additional;testing;signed;manufacturing;positive;program;workforce;50;workers;days;ppe;monday;assistance;reopen;community;emergency;communities;contact;economy;federal;click;home;spread;shields;number;next;grant;local;#backontrack;providers;counties
hoosier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;4;0;2;4;0;4;0;0;0;0;0;2;2;0;0;0;0;6;2;2;4;4;2;0;2;2;0;2;2;2;2;2;2;2;0;6;0;2;0;4;0;0;2;2;0;0;4;0;2;4;8;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;6;0;2;2;8;2;0;0;2;0;2;40;0;2;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;6;0;0;0;0;0;4;6;0;2;4;0;0;0;4;0;0;2;0;0;0;0;0;2
@cdcgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;4;2;2;6;2;0;8;2;2;4;8;0;0;0;6;0;0;4;6;0;0;2;4;0;0;0;2;4;0;2;0;2;0;6;0;2;2;0;4;2;0;4;6;0;2;0;2;0;2;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;6;2;2;2;0;0;2;2;6;4;4;0;0;4;0;0;0;0;4;4;0;0;0;0;0;4;0;4;2;2;0;0;0;2;4;2;0;2;0;0;2;4;4;2;0;6;2;0;0;0;2;4
#inthistogether;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;6;0;0;0;0;0;2;0;4;0;6;0;2;0;2;0;0;0;0;2;2;6;0;0;0;0;0;2;4;0;0;0;0;2;2;8;0;2;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;20;0;0;0;10;2;0;2;0;6;4;0;4;0;2;2;2;0;2;2;0;0;2;0;16;2;6;0;0;2;2;6;0;0;2;0;0;4;8;0;0;0;2;0;4;8;2;4;2;4
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;2;2;2;4;0;0;2;2;2;2;0;4;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;10;4;0;2;0;4;0;0;6;4;0;6;2;0;0;2;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;14;0;0;2;2;0;0;2;0;20;6;0;0;0;12;2;0;0;0;0;0;4;0;6;10;2;2;0;0;0;6;0;4;0;4;0;6;8;0;0;2;0;0;0;0;0;6;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;4;8;2;0;2;2;2;2;0;0;4;0;4;0;0;4;0;4;0;0;0;14;2;4;2;0;0;4;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;8;8;4;0;0;0;0;0;2;0;0;0;0;0;0;8;8;4;2;0;0;0;4;0;2;4;4;0;2;16;0;0;0;0;0;2;14;0;0;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;2;0;6;8;0;0;2;8;0;2;0;0;0;0;4;0;0;2;0;2;4;2;10;2;2;0;4;2;0;6;0;0;0;0;0;6;4;0;0;4;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;2;0;2;0;0;4;0;4;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;4;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;6;0;0;0;0;2;2;0;2;2;4;0;4;2;6;0;2;0;10;6;2;0;2;4;2;6;2;6;2;0;0;0;0;0;8;0;0;0;0;10;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;6;0;4;2;4;2;2;8;4;4;2;0;6;14;0;0;0;2;0;2;4;4;0;2;4;2;6;6;0;0;0;0;0;4;8;2;6;0;2
remain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;2;0;0;0;20;0;2;0;6;10;0;0;2;0;10;0;4;4;0;0;0;0;0;0;0;2;2;0;6;0;6;6;2;0;2;0;0;4;8;0;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;6;0;0;0;0;0;4;4;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;2
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;18;4;8;2;2;0;0;2;0;0;6;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;4;0;20;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;4;0;2;0;2;0;6;0;8;0;0;0;2;0;0;4;0;0;0;0;0;14;0;0;0;2;6;4;2;0;0;2;0;2;0;0;0
