;city;toronto;health;public;covid19;community;housing;new;work;distancing;working;social;response;care;torontos;medical;residents;officer;continue;park;safe;together;services;important;take;home;staff;emergency;critical;torontonians;spread;workers;stay;service;citys;support;next;provincial;essential;vulnerable;part;provide;people;protect;crisis;rail;coronavirus;information;update;prevent;ensure;measures;ontario;deck;safety;shelter;details;step;affordable;budget;homelessness;planning;building;plan;province;risk;government;everyone;prepare;physical;months;week;frontline;advice;strong;confirmed;free;future;year;music;necessary;act;works;sites;days;tomorrow;moment;child;good;west;big;homeless;build;mayor;remains;test;3;downtown;nonstop;supportive
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;6;2;0;2;2;26;2;2;12;0;0;0;4;2;26;0;10;0;0;6;0;0;2;0;0;0;0;0;0;4;0;0;4;0;14;6;0;0;4;4;0;0;0;0;0;6;0;0;0;0;0;8;2;4;0;0;0;0;0;0;0;0;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;20;6;6;0;4;30;8;0;12;4;6;0;2;0;0;0;2;2;2;6;2;2;6;0;0;0;0;0;2;0;0;8;0;2;2;0;2;2;2;22;0;0;2;10;0;0;0;0;0;0;0;0;0;2;16;0;0;2;2;0;0;0;2;0;2;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;8;0;10;2;4;8;0;0;0;4;4;4;0;6;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;6;4;2;2;2;4;4;2;4;0;0;0;0;2;0;2;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;10;26;8;0;10;2;2;0;2;0;0;0;0;2;2;10;0;4;2;6;0;2;0;0;4;0;0;8;2;4;8;0;2;0;0;4;0;0;0;8;0;2;0;2;0;6;2;2;2;2;14;0;2;2;0;0;6;0;2;0;0;0;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;8;14;4;4;0;8;4;0;0;0;6;4;2;0;0;0;2;2;2;0;0;4;0;2;0;8;2;2;0;0;2;0;2;4;6;8;0;0;2;0;2;0;2;0;2;2;2;2;0;0;0;0;0;2;0;8;0;0;2;2;2;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;0;6;2;2;6;0;0;0;2;0;4;4;2;0;4;10;2;2;0;0;2;0;2;0;2;0;0;0;4;4;0;0;0;0;0;4;6;0;0;4;0;2;2;0;2;2;2;6;0;0;2;4;0;0;0;2;4;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;2;0;0;0;0;0;10;2;0;4;16;0;4;2;6;2;6;2;0;2;2;0;2;2;18;0;2;0;0;0;6;8;2;4;0;2;0;6;2;4;0;2;2;8;0;6;4;0;4;4;2;0;6
provincial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;2;0;0;0;6;0;4;4;2;2;4;0;2;4;0;2;2;6;0;2;2;0;8;8;16;0;2;0;4;0;4;0;2;10;2;0;6;0;2;0;2;4;0;2;0;2;0;2;2;2;2;0;6;6;4;2;2;2
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;14;2;4;0;2;0;0;0;4;2;2;4;0;0;0;2;2;0;0;0;6;0;0;6;2;2;0;0;2;0;2;8;4;0;0;12;0;0;2;0;0;0;0;0;0;2;16;0;2;2;0;0;0;0;2;0;2;0;0
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;16;2;0;0;0;4;0;10;2;0;0;2;2;2;0;2;0;4;0;2;6;0;2;0;4;2;0;2;0;8;0;0;0;0;0;0;0;0;2;0;0;0;2;6;0;0;0;0;6;0;6;2;4;0;0;4;0
