;great;president;states;trump;united;people;new;house;american;news;white;federal;government;republican;state;national;thank;world;campaign;country;2016;media;presidential;york;party;administration;big;department;man;obama;americans;democrats;police;story;free;help;investigation;senate;fbi;washington;history;fake;election;bill;killed;former;russia;donald;justice;year;clinton;russian;left;court;called;article;may;another;good;thing;hillary;security;working;attack;protect;bernie;trying;could;program;health;political;nfl;supreme;congress;war;post;bad;law;report;committee;love;china;best;major;work;times;military;thursday;sanders;lot;week;pay;senator;radical;director;trumps;least;america;complete;act
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;2;2;0;4;2;0;0;2;0;0;2;0;0;2;2;2;2;2;2;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;2;2;2;4;2;0;0;10;4;8;0;8;8;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;4;0;0;2;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;6;0;2;2;0;0;0;2;2;2;0;4;0;6;0;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;2;10;4;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;4;2;6;0;4;4;0;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;2;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;4;0;0;2;2;2;2;0;2;2;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;12;0;0;4;0;0;0;4;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;2;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;0;0;0;2;0;0;2;0;4;0;2;0;0;0;2;2;4;2;0;2;0;0;0;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;4;0;0;4;2;4;0;2;0;0;0;2;2;0;4;0;0;2;0;0;0;0;2;2;0;0;4;0;2;0;2;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;2;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;0;6;6;2;0;2;2;2;2;2;2;8;0;0;2;2;4;6;2;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0;4;2;2;2;2;2;0;4;2;2;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;4;0;0;2;0;2;2;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;2;4;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;2
killed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;0;2;0;0;4;0;0;0;2;6;0;0;2;0;0;0;0;0;2;2;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;6;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;6;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;4;0;4;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;2;0;10;0;0;0;0
