Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"Great to sit down with @yvonnewingett @ronaldjhansen to discuss some of Arizona’s 2020 priorities. Listen here ⬇️
 @azcentral",148,2020-01-17 20:30:03,Twitter for iPhone,12,4,dougducey,1218269273820295168,,20217019,False,https://t.co/qZypsNCuwA,en,January,Q1,"['great', 'sit', '@yvonnewingett', '@ronaldjhansen', 'discuss', 'arizonas', '2020', 'priorities', 'listen', '@azcentral']"
The Denslow’s story is truly heartbreaking. My heart goes out to them and all who have experienced this. This is why we’re fighting to increase access to mental healthcare and ensure mental health parity.  @abc15,235,2020-01-17 16:16:20,Twitter Web App,53,9,dougducey,1218205422143729665,,20217019,False,https://t.co/CLLmhZ9QgJ,en,January,Q1,"['denslows', 'story', 'truly', 'heartbreaking', 'heart', 'goes', 'experienced', 'fighting', 'increase', 'access', 'mental', 'healthcare', 'ensure', 'mental', 'health', 'parity', '@abc15']"
Great to join the Greater Phoenix Leadership to discuss what’s in store for 2020! Thank you @GPLInc for all you do to grow Arizona’s economy.,165,2020-01-17 01:50:08,Twitter Web App,31,1,dougducey,1217987434727661568,,20217019,False,https://t.co/5nySC41ITu,en,January,Q1,"['great', 'join', 'greater', 'phoenix', 'leadership', 'discuss', 'whats', 'store', '2020', 'thank', '@gplinc', 'grow', 'arizonas', 'economy']"
Arizona is the #1 inbound state in the nation — adding more than 300 new residents a day. My thanks to the Greater Phoenix Chamber and everyone who works to keep Arizona the most attractive state for people and businesses. @phxchamber,258,2020-01-17 01:29:04,Twitter Web App,78,13,dougducey,1217982133358092288,,20217019,False,https://t.co/ACkyOci90A,en,January,Q1,"['arizona', '#1', 'inbound', 'state', 'nation', 'adding', '300', 'new', 'residents', 'thanks', 'greater', 'phoenix', 'chamber', 'everyone', 'works', 'arizona', 'attractive', 'state', 'people', 'businesses', '@phxchamber']"
This expansion means 70 new jobs in Bullhead City!  @DotFoods,84,2020-01-16 23:27:06,Twitter for iPhone,16,6,dougducey,1217951442406797312,,20217019,False,https://t.co/6zdEBgnd1p,en,January,Q1,"['expansion', 'means', '70', 'new', 'jobs', 'bullhead', 'city', '@dotfoods']"
Arizona is proud to be a leader in tech and innovation growth. Thank you @aztechcouncil for your work in helping Arizona’s tech industry thrive! @szylstra @emillerphx 📈,192,2020-01-16 23:23:06,Twitter for iPhone,23,7,dougducey,1217950433265647616,,20217019,False,https://t.co/fDL9qC8bLK,en,January,Q1,"['arizona', 'proud', 'leader', 'tech', 'innovation', 'growth', 'thank', '@aztechcouncil', 'work', 'helping', 'arizonas', 'tech', 'industry', 'thrive', '@szylstra', '@emillerphx']"
"THANK YOU and welcome home, Citizen-Soldiers of the 996th Medical Co. 🇺🇸",96,2020-01-16 23:20:21,Twitter for iPhone,387,85,dougducey,1217949743474593792,,20217019,False,https://t.co/Pi5YCLLEte,en,January,Q1,"['thank', 'welcome', 'home', 'citizensoldiers', '996th', 'medical', 'co']"
Thanks to @dennis_welch for coming to the Governor's office to tape Politics Unplugged. Great discussion! @azfamily,139,2020-01-16 22:30:15,Twitter Web App,19,2,dougducey,1217937135723925504,,20217019,False,https://t.co/ejc4iE2u0k,en,January,Q1,"['thanks', '@dennis_welch', 'coming', 'governors', 'office', 'tape', 'politics', 'unplugged', 'great', 'discussion', '@azfamily']"
@realDonaldTrump @SenatorSinema @SenMcSallyAZ @RepGregStanton @RepDavid @RepAndyBiggsAZ @RepDLesko @RepGosar @RepOHalleran @RepKirkpatrick @RepRaulGrijalva @RepRubenGallego It’s a new day for trade in Arizona and around the country. Arizona looks forward to building on these exciting opportunities to bring even more jobs to our state. 🇺🇸🇲🇽🇨🇦 5/5,347,2020-01-16 17:13:40,Twitter Web App,39,5,dougducey,1217857464290267137,20217019.0,20217019,False,,en,January,Q1,"['@realdonaldtrump', '@senatorsinema', '@senmcsallyaz', '@repgregstanton', '@repdavid', '@repandybiggsaz', '@repdlesko', '@repgosar', '@repohalleran', '@repkirkpatrick', '@repraulgrijalva', '@reprubengallego', 'new', 'trade', 'arizona', 'country', 'arizona', 'looks', 'forward', 'building', 'exciting', 'opportunities', 'bring', 'jobs', 'state', '55']"
@realDonaldTrump I also thank all members of the Arizona delegation for their unanimous support. @SenatorSinema @SenMcSallyAZ @RepGregStanton @RepDavid @RepAndyBiggsAZ @RepDLesko @RepGosar @RepOHalleran @RepKirkpatrick @RepRaulGrijalva @RepRubenGallego 🇺🇸🇲🇽🇨🇦 4/,262,2020-01-16 17:13:04,Twitter Web App,68,13,dougducey,1217857313815420930,20217019.0,20217019,False,,en,January,Q1,"['@realdonaldtrump', 'thank', 'members', 'arizona', 'delegation', 'unanimous', 'support', '@senatorsinema', '@senmcsallyaz', '@repgregstanton', '@repdavid', '@repandybiggsaz', '@repdlesko', '@repgosar', '@repohalleran', '@repkirkpatrick', '@repraulgrijalva', '@reprubengallego', '4']"
This deal required plenty of give and take on all sides and was never guaranteed. I credit @realDonaldTrump and the administration and everyone involved for their persistence and hard work to make this monumental achievement happen. 🇺🇸🇲🇽🇨🇦 3/,242,2020-01-16 17:12:14,Twitter Web App,29,7,dougducey,1217857101541720065,20217019.0,20217019,False,,en,January,Q1,"['deal', 'required', 'plenty', 'give', 'take', 'sides', 'guaranteed', 'credit', '@realdonaldtrump', 'administration', 'everyone', 'involved', 'persistence', 'hard', 'work', 'monumental', 'achievement', '3']"
"Already, trade with Mexico and Canada supports more than 228,000 Arizona jobs and $20 billion annually. The USMCA will strengthen these relationships and set the stage for a new generation of closer economic ties with our international neighbors. 🇺🇸🇲🇽🇨🇦 2/",256,2020-01-16 17:11:35,Twitter Web App,37,11,dougducey,1217856938630737923,20217019.0,20217019,False,,en,January,Q1,"['trade', 'mexico', 'canada', 'supports', '228000', 'arizona', 'jobs', '20', 'billion', 'annually', 'usmca', 'strengthen', 'relationships', 'set', 'stage', 'new', 'generation', 'closer', 'economic', 'ties', 'international', 'neighbors', '2']"
"BOOM! The U.S. Senate has RATIFIED the #USMCA! As a trade powerhouse, Arizona stands to gain big with this updated agreement in place, with more jobs and economic opportunity for Arizonans. 🇺🇸🇲🇽🇨🇦 1/",223,2020-01-16 17:10:54,Twitter Web App,304,104,dougducey,1217856767952130048,,20217019,False,https://t.co/W1hNMVb4c3,en,January,Q1,"['boom', 'senate', 'ratified', '#usmca', 'trade', 'powerhouse', 'arizona', 'stands', 'gain', 'big', 'updated', 'agreement', 'place', 'jobs', 'economic', 'opportunity', 'arizonans', '1']"
Love this #HappyBabies success story! 👶  @kgun9,70,2020-01-16 16:56:42,Twitter Web App,8,3,dougducey,1217853191414370304,,20217019,False,https://t.co/h7J3pA2AR5,en,January,Q1,"['love', '#happybabies', 'success', 'story', '@kgun9']"
This is expansion is great news for Mohave County! Jobs on the rise 📈,93,2020-01-16 01:01:46,Twitter for iPhone,37,6,dougducey,1217612877328072704,,20217019,False,https://t.co/thPDHBNvwi,en,January,Q1,"['expansion', 'great', 'news', 'mohave', 'county', 'jobs', 'rise']"
Great work @CasaGrandePD in bringing mountain snow to Quinn! Well done!,95,2020-01-15 22:39:58,Twitter for iPhone,25,7,dougducey,1217577189396189184,,20217019,False,https://t.co/1v3aLQqC8x,en,January,Q1,"['great', 'work', '@casagrandepd', 'bringing', 'mountain', 'snow', 'quinn']"
Good to be back at the Arizona Republic for The Gaggle podcast interview! @yvonnewingett @ronaldjhansen @azcentral,138,2020-01-15 22:34:54,Twitter Web App,12,2,dougducey,1217575916051714050,,20217019,False,https://t.co/EZYiwgCQQR,en,January,Q1,"['good', 'arizona', 'republic', 'gaggle', 'podcast', 'interview', '@yvonnewingett', '@ronaldjhansen', '@azcentral']"
"Next stop: West Valley 🌵 

Great to be here! #TheArizonaWay @WESTMARC @AZAvondale",105,2020-01-15 19:05:31,Twitter Web App,17,4,dougducey,1217523222146469888,,20217019,False,https://t.co/zdLKqRbkIy,en,January,Q1,"['next', 'stop', 'west', 'valley', 'great', '#thearizonaway', '@westmarc', '@azavondale']"
"Great seeing you, Mayor!",48,2020-01-15 19:01:13,Twitter for iPhone,23,1,dougducey,1217522139433033728,,20217019,False,https://t.co/XOLe086JQx,en,January,Q1,"['great', 'seeing', 'mayor']"
Even MORE good news to start 2020! Thx to @LarryFitzgerald and @AZCardinals,99,2020-01-15 18:08:07,Twitter for iPhone,64,5,dougducey,1217508779580805120,,20217019,False,https://t.co/8halUaIapt,en,January,Q1,"['good', 'news', 'start', '2020', 'thx', '@larryfitzgerald', '@azcardinals']"
"Thanks @lorrainerivera for chatting yesterday! 
WATCH: Friday at 8:30 PM @azpm 📺",104,2020-01-15 16:18:00,Twitter for iPhone,9,7,dougducey,1217481067982049282,,20217019,False,https://t.co/DKAwKJxlFA,en,January,Q1,"['thanks', '@lorrainerivera', 'chatting', 'yesterday', 'watch', 'friday', '830', '@azpm']"
@SuptJBroussard Thank you for your work to support Arizona students.,68,2020-01-15 16:02:49,Twitter Web App,0,0,dougducey,1217477243800178688,9.359091291761746e+17,20217019,False,,en,January,Q1,"['@suptjbroussard', 'thank', 'work', 'support', 'arizona', 'students']"
