;vermonters;vermont;state;work;help;covid19;health;#vtbudget;continue;#vtsots;support;economic;thank;people;together;response;new;businesses;public;#vtpoli;million;12;safe;22;working;critical;vermonts;provide;vt;@healthvermont;team;live;budget;economy;care;important;year;pandemic;nation;program;take;relief;recovery;spread;services;act;includes;stay;efforts;crisis;good;great;lives;emergency;states;across;part;kids;tax;visit;package;hard;service;community;workers;additional;guidance;families;virus;still;assistance;future;news;local;announced;home;find;american;week;data;business;order;family;communities;may;increase;social;outdoor;watch;schools;funding;forward;honor;testing;without;safety;learn;another;federal;13
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;4;0;6;2;0;2;0;2;0;0;0;0;2;0;2;4;8;0;14;6;0;2;2;0;2;4;2;0;0;4;0;4;2;0;2;0;6;4;2;2;0;0;0;6;0;2;0;4;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0;4;2;4;2;2;0;0;2;2;0;0;2;0;0;0;0;4;4;0;2;0;2;4;0;6;0;4;4;0;0;0;0;2;2;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;6;0;0;2;4;8;0;4;2;0;0;8;0;2;0;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;2;2;0;0;8;2
includes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;6;0;2;2;0;0;4;0;0;2;0;8;2;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;2;2;6;0;2;0;0;4;2;0;0;2;0;0;4;6;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;6;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;6;4;2;0;2;0;2;12;0;0;0;2;0;10;0;0;0;0;4;0;0;0;0;2;0;4;0;2;2;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;4;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;4;4;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;8;0;0;10;2;2;0;0;2;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;2;8;4;0;0;0;0;4;6;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;2;0;2;14;0;2;0;2;2;2;4;0;0;0;4;0;2;0;0;0;0;0;2;0;0;4;0;6;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;4;0;0;6;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;4;4;0;0;6;0;2;2;2;0;4;0;2;4;0;4;0;2;0;0;0;4;4;0;4;2;0;0;4
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;4;4;0;0;0;2;2;2;2;2;0;4;2;2;2;4;2;2;0;0;0;2;4;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;2;0;0;2;0;4;4;0;0;4;2;0;4;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;8;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;8;0;2;6;0;2;0;2;2;0;0;2;0;2;0;0;0;0;2;4;2;2;0;0;0;6;0;0;2;0;2;2;0;0;2;2
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;2;2;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2
