;new;#coronavirus;york;watch;briefing;state;yorkers;daily;giving;ny;health;live;people;testing;nys;help;states;updates;holding;cases;workers;available;closed;federal;covid;thank;public;wear;mask;1130am;captioning;spread;tests;home;stay;positive;work;update;government;et;interpretation;asl;reopening;yesterday;lost;law;police;lives;across;save;virus;working;social;nyc;covid19;hospital;take;still;#newyorktough;essential;order;facts;protect;healthcare;care;support;medical;cant;together;pandemic;stop;masks;reopen;distancing;capacity;country;safe;continue;may;call;1;provide;best;year;hate;act;phase;executive;confirmed;ventilators;#covid19;community;staff;president;good;rate;stand;businesses;lets;honor
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;2;4;6;4;2;4;6;4;2;0;6;4;4;2;4;8;2;4;4;4;0;6;2;14;2;2;2;8;0;2;2;6;4;0;0;2;2;10;2;0;2;2;6;0;2;2;4;4;4;2;0;0;4;6;4
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;24;0;0;0;2;0;0;0;0;0;4;0;4;6;4;0;0;0;2;2;0;2;0;2;2;0;2;0;2;0;0;0;0;2;8;0;0;10;0;0;0;0;0;0;0;26;2;6;0;2;0;2;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;6;2;2;0;4;0;2;4;10;2;2;2;0;2;2;0;0;0;2;6;4;2;4;2;4;0;0;4;0;0;2;0;0;0;12;0;2;0;10;0;2;0;6;2;0;2;2;2;0;0;0;2;2
et;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
interpretation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
asl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;6;2;0;2;2;2;2;2;4;0;2;0;0;0;2;2;4;0;6;6;2;0;12;2;4;8;0;24;2;0;0;0;2;38;0;0;0;0;0;2;0;0;4;2;4;0;0
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;2;4;0;0;0;2;2;0;4;2;0;2;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0
lost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;8;2;0;2;0;6;0;2;8;2;2;0;0;2;0;4;4;2;2;0;4;0;0;0;2;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;4;0;2;2;0;0;0;4;0;0;8
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;0;0;0;4;0;4;0;0;0;0;2;4;0;10;0;2;2;0;2;0;2;0;2;0;2;0;2;2;0;0;4;0;2;0;8;4;0;0;4;0;0;0;2;2;2;2;0;6;2;6;4
