;mississippi;stay;covid19;state;working;safe;home;protect;health;ms;people;woman;please;together;unemployment;live;response;help;mississippians;work;facebook;care;spread;outbreak;join;women;local;across;another;businesses;benefits;thank;workers;experts;continue;families;questions;neighbors;new;dr;tomorrow;ensure;gatherings;dobbs;everyone;top;schools;efforts;world;country;respond;taking;signed;grateful;communities;president;anyone;girls;executive;provides;coronavirus;states;leaders;hard;trailblazing;female;anything;testing;public;pandemic;22;fight;information;call;lives;great;employees;discuss;role;celebrate;pray;order;led;2;amazing;300;heres;1;orders;celebrating;business;disease;@realdonaldtrump;law;elee;following;general;governors;tests;answer
dr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;0;0;0;0;2;0;2;2;0;2;0;0;2;0;4;2;0;0;0;0;0;2;2;0;0;0;4;4;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
tomorrow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;4
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
gatherings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0
dobbs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;4;4;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
top;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;4;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
