;#covid19;pennsylvania;pennsylvanians;help;health;home;phase;counties;stay;businesses;people;pa;reopening;thank;safe;yellow;guidance;continue;work;vote;spread;plan;safety;new;care;commonwealth;lives;masks;resources;students;order;food;mask;election;green;public;may;program;protect;place;wear;pandemic;social;move;red;2;cases;june;business;primary;workers;mail;schools;mental;reopen;violence;restrictions;county;sign;register;together;distancing;state;stop;information;still;working;school;learn;take;paians;across;assistance;available;@pahealthdept;everyone;ballot;million;support;latest;making;heres;efforts;part;prevent;proud;unemployment;please;signed;pennsylvanian;find;registration;follow;close;law;possible;employees;provide;virus;families
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;2;2;4;2;4;2;6;0;0;2;4;0;2;0;6;2;4;0;0;0;0;4;0;0;4;6;0;4;4;4;0;2;10;2;4;4;2;2;0;2;0;2;0;4;0;2;2;2;4;0;0;2;10;0;2;0;2;10;2;2;0;4;4;2
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;4;2;4;0;0;2;0;2;0;0;0;4;0;2;2;0;0;0;6;0;0;0;0;2;2;2;0;0;2;4;2;8;4;18;6;0;0;0;4;4;2;4;6;0;0;0;2;0;0;0;14;16;0;0;0;0;0;4;4;0;8
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;16;6;32;4;6;4;4;0;8;0;6;0;0;0;0;0;2;0;0;4;0;0;0;6;0;4;6;4;0;0;2;8;4;6;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;10;0;0;2;0;0;0;0;4;2;0;4;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;4;0;0;0;0;0;46;0;46;0;60;0;44;0;0;0;0;0;6;38;38;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;36;6;0;0;0;0;0;0;0;4;0;0;12;0;4;28;0;0;0;0;0;0;0;0
green;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;14;2;0;0;18;12;0;6;12;4;0;0;0;4;0;6;0;14;8;0;0;2;0;6;0;4;10;0;0;2;2;6;0;0;0;2;2;0;0;0;0;2;4;4;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;16;0;10;2;4;2;4;0;2;0;2;0;6;0;10;0;2;2;0;0;0;10;2;0;0;10;2;8;0;6;0;6;0;2;4;4;0;6;0;0;0;2;0;2;6;4;0;14;0;0;0;0;2;2;4;4;0;2;6;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;4;10;16;18;0;16;2;18;0;16;0;0;2;0;6;0;16;10;0;2;0;4;2;0;2;4;0;2;0;0;0;0;0;0;10;4;0;0;0;2;2;0;0;0;6;2;8;0;0;4;0;0;0;4;0;0;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;2;0;0;0;0;10;0;0;0;2;12;4;0;2;4;10;6;0;0;0;6;6;0;4;4;0;0;0;2;6;0;2;2;6;0;0;0;2;0;2;6;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;8;4;2;0;0;2;0;4;0;4;0;2;0;2;0;0;0;0;0;6;4;6;0;2;6;4;0;2;6;8;4;0;0;4;2;0;0;2;6;4;2;0;2;2;0;0;6;4;2;2;0;0;4;0;4;4;0;6;2
place;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;2;10;4;0;2;8;6;4;6;0;0;2;0;18;0;4;4;2;4;0;2;4;12;0;0;6;4;4;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;2;0;0;8;2;8;0;0;10;8;0;0;0
