;trump;president;great;united;people;states;new;federal;national;party;government;american;house;obama;news;state;republican;administration;russia;man;democrats;election;best;white;left;working;world;donald;big;security;history;love;2016;good;thank;story;department;york;washington;fbi;job;senate;bill;radical;court;military;supreme;campaign;country;may;health;help;vote;america;former;year;committee;fake;china;amazing;article;second;act;presidential;media;city;democrat;women;says;nothing;police;americans;2015;released;power;post;another;hard;announce;least;trying;reserve;fact;money;senator;huge;wonderful;investigating;law;strong;million;usa;team;justice;head;reason;border;times;months;bernie
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;2;0;2;0;4;0;0;0;0;0;0;2
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;6;2;2;0;4;0;0;0;12;0;2;2;2;4;0;2;2;6;0;0;0;0;0;2;10;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;6;2;0;2;0;2;6;0;0;0;0;2;4
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;2;0;4;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;4;0;0;2;2;0;0;2;2;0;0;2;0;2;0;4;2;0;0;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;4;4;0;0;0;2;4;0;2;4;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;2;2;0;2;0;0;0;2;4;2;0;4;2;0;0;2;0;0;2;4;0;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;6;0;4;4;0;0;0;0;2;0;0;0;0;4;0;2;0;0;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;6;2;2
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;0;0;0;10;0;4;2;0;0;2;0;0;2;0;0;2;0;0;4;4;2;2;0;0;0;2;4;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;12;4;0;0;2;0;16;2;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;10;0;0;0;0;2;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;20;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;2;0;2;2;0;4;4;0;2;0;0;0;4;0;2;2;0;0;2;2;0;0;0;0;0;0;6;0;4;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;2;4;0;0;0;0;2;2;0;0;0;2;4;0;2;0;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;4;6;2;0;0;2;2;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;4;2;0;0;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;6;6;0;2;0;0;0;4;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;2;0;4;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;8;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;0;0;2;6;0;0;0;0;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;4;0;2;0;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;0;0;2;6;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;8;0;0;0;2;0;4;6;0;0;2;0;2;2;0;2;0;4;0;0;0;2;0;0;0;0;0;4;0;0;0;12;2;0;0;0;2;10;0;0;2;2;0;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;6;0;0;0;2;2;0;2;2;0;4;2;2;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;0;2;0;0;0;0;4;0;2;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;6;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2
