;ca;#covid19;tune;new;cases;continue;physical;home;update;take;confirmed;positive;hospitals;stay;health;public;flattening;curve;wear;workers;practice;lives;mask;reopening;moment;seriously;science;help;people;icu;testing;actions;thank;safe;#stayhomesavelives;distancing;californians;across;save;distancing#stayhomesavelives;states;staying;fight;work;healthy;allow;together;listen;spread;days;important;risk;million;guided;isnt;protect;love;frontlines;working;healthcare;provide;impact;literally;rate;state;lost;crisis;face;cas;care;12pm;reopen;federal;pandemic;homepractice;wash;cant;next;repeat;ability;simply;live;stores;stage;begin;honor;hands;counties;americans;practicing;data;seriouslystay;2;grateful;start;meet;great;slow;led;cannot
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;0;2;2;0;2;0;0;6;2;2;0;2;0;6;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0;4;6;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2
icu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;14;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;4;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;14;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;10;0;0;2;0;4;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;4;0;2;0;0;2;0;0;2;0;0;0;4;10;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;4;4;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;4;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0
#stayhomesavelives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;4;0;0;0;4;4;0;0;2;0;0;0;2;2;0;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;8;2;0;4;0;0;0;0;0;2;0;8;2;0;6;0;0;0;0;0;0;0;0;0;0
californians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;6;2;2;2;0;2;0;0;2;0;0;2;0;4;2;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
