;ontario;people;thank;covid19;great;health;working;government;workers;#ontariospirit;businesses;new;work;community;business;together;ontarians;safe;care;happy;continue;jobs;ontarios;home;protect;province;help;support;job;year;family;join;part;everyone;plan;premier;trade;washington;proud;stay;important;hard;across;forward;economic;economy;meeting;visit;action;ford;making;communities;live;million;meet;ensure;@victorfedeli;please;families;@natlgovsassoc;celebrating;relief;local;students;mental;learn;canadian;infrastructure;spread;public;colleagues;morning;times;strong;march;taking;billion;take;partners;toronto;canada;update;dc;friends;week;2020;provide;challenging;contributions;build;federal;healthcare;spoke;trades;healthy;access;find;announced;auto;staff
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;4;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;2;2;2;0;2;0;2;0;2;0;2;0;4;0;0;2;0;0;0;2;0;0
meeting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;2;0;0;6;0;0;14;0;0;0;0;0;0;8;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;0;4;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0
action;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;4;0;2;4;0;0;0;0;0;0;4;2;0;0;2;2;4;8;4;2;0;0;0;2;0;0;4;2;2;2;0;0;2;2;6;0;0;0;2;0;0;0
ford;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;2;4;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;2;0;2;2;2;2;2;0;0;0;0;0;2;0;0;6;0;0;0;0;0;2;0;2;0;4;2;0;2;0;8;0;2;0;2;2;2;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;4;0;0;4;4;4;4;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;4;2;4;0;4;0;2;0;2;2;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;4;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;2;0
meet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;6;0
